Table 8,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2019",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Aberdeen Township,"18,700",15,0,3,5,7,164,7,145,12,0
Absecon,"8,436",8,0,1,2,5,236,24,207,5,0
Allendale,"6,795",0,0,0,0,0,38,8,26,4,0
Allenhurst,484,0,0,0,0,0,11,1,9,1,0
Allentown,"1,784",0,0,0,0,0,8,2,6,0,0
Alpha,"2,262",1,0,0,0,1,37,7,30,0,0
Alpine,"1,856",1,0,0,0,1,15,4,2,9,0
Andover Township,"5,870",0,0,0,0,0,17,3,13,1,0
Asbury Park,"15,437",179,2,10,47,120,525,59,457,9,0
Atlantic City,"37,593",323,11,29,182,101,"1,738",130,"1,519",89,2
Atlantic Highlands,"4,308",3,0,0,1,2,50,2,48,0,0
Audubon,"8,601",5,0,0,2,3,296,21,268,7,0
Audubon Park,997,1,0,0,0,1,5,0,5,0,0
Avalon,"1,236",5,0,0,0,5,157,12,145,0,0
Avon-by-the-Sea,"1,766",1,0,0,0,1,36,5,31,0,0
Barnegat Light,587,0,0,0,0,0,6,1,5,0,0
Barnegat Township,"23,399",12,0,0,4,8,124,13,108,3,0
Barrington,"6,620",3,0,1,1,1,62,8,49,5,0
Bay Head,976,0,0,0,0,0,15,3,12,0,0
Bayonne,"65,032",145,2,11,52,80,704,120,519,65,4
Beach Haven,"1,191",0,0,0,0,0,141,5,136,0,0
Beachwood,"11,275",5,0,3,0,2,79,14,65,0,0
Bedminster Township,"8,043",2,0,0,0,2,39,6,29,4,0
Belleville,"36,531",78,1,9,24,44,508,70,351,87,1
Bellmawr,"11,294",13,0,0,2,11,133,28,97,8,1
Belmar,"5,562",8,0,0,0,8,86,4,78,4,0
Belvidere,"2,564",8,0,1,0,7,32,13,19,0,0
Bergenfield,"27,432",15,1,1,0,13,75,11,62,2,0
Berkeley Heights Township,"13,592",4,0,3,1,0,58,12,36,10,0
Berkeley Township,"41,738",44,0,9,10,25,385,68,310,7,1
Berlin,"7,510",10,0,0,2,8,126,21,100,5,1
Berlin Township,"5,651",3,0,0,3,0,126,11,111,4,1
Bernards Township,"27,228",0,0,0,0,0,83,15,54,14,0
Bernardsville,"7,670",2,0,0,0,2,43,3,34,6,0
Beverly,"2,476",11,0,0,1,10,35,9,20,6,0
Blairstown Township,"5,703",5,0,1,0,4,19,8,10,1,0
Bloomfield,"50,307",32,0,0,11,21,567,58,447,62,0
Bloomingdale,"8,089",5,0,3,0,2,32,3,29,0,0
Bogota,"8,403",2,0,0,2,0,33,5,26,2,0
Boonton,"8,157",11,0,1,2,8,82,8,70,4,0
Boonton Township,"4,279",2,0,1,0,1,18,4,12,2,0
Bordentown City,"3,786",2,0,0,1,1,26,1,24,1,0
Bordentown Township,"12,018",11,0,0,0,11,66,3,53,10,2
Bound Brook,"10,257",16,1,0,6,9,112,11,98,3,0
Bradley Beach,"4,158",6,0,0,0,6,68,7,60,1,0
Branchburg Township,"14,551",4,0,2,1,1,83,13,63,7,1
Brick Township,"75,592",83,3,18,9,53,805,128,665,12,4
Bridgeton,"24,331",223,2,17,114,90,848,261,549,38,1
Bridgewater Township,"44,610",7,0,0,3,4,435,32,382,21,1
Brielle,"4,683",2,0,1,0,1,15,3,11,1,0
Brigantine,"8,684",1,0,0,0,1,165,31,129,5,0
Brooklawn,"1,899",16,0,1,5,10,149,13,134,2,0
Buena,"4,316",4,0,1,0,3,47,16,28,3,0
Burlington City,"9,877",51,2,2,14,33,150,40,94,16,0
Burlington Township,"22,516",31,0,7,6,18,261,30,210,21,1
Butler,"7,613",1,0,0,0,1,26,3,22,1,0
Byram Township,"7,875",10,0,4,1,5,63,9,48,6,0
Caldwell,"7,943",7,0,1,0,6,57,15,41,1,0
Califon,"1,055",0,0,0,0,0,3,1,1,1,0
Camden County Police Department,"73,270","1,159",25,67,302,765,"2,101",372,"1,194",535,41
Cape May,"3,428",4,0,1,0,3,94,3,86,5,0
Cape May Point,274,0,0,0,0,0,4,3,1,0,0
Carlstadt,"6,170",8,0,0,2,6,73,4,61,8,0
Carney's Point Township,"7,664",17,0,10,3,4,104,18,80,6,1
Carteret,"23,645",32,0,5,11,16,265,40,201,24,0
Cedar Grove Township,"12,508",6,0,0,1,5,56,4,50,2,0
Chatham,"8,696",0,0,0,0,0,63,5,52,6,0
Chatham Township,"10,219",0,0,0,0,0,24,1,20,3,0
Cherry Hill Township,"70,716",59,0,0,30,29,"1,694",148,"1,497",49,1
Chesilhurst,"1,616",4,0,0,0,4,43,20,19,4,0
Chester,"1,635",0,0,0,0,0,13,1,12,0,0
Chesterfield Township,"7,474",3,0,0,0,3,6,0,6,0,0
Chester Township,"7,731",0,0,0,0,0,35,11,20,4,0
Cinnaminson Township,"16,477",16,0,2,3,11,352,28,310,14,0
Clark Township,"16,022",14,0,4,3,7,224,13,207,4,1
Clayton,"8,709",13,0,2,1,10,85,16,65,4,1
Clementon,"4,919",13,0,0,8,5,132,43,83,6,0
Cliffside Park,"26,115",18,0,1,5,12,102,8,94,0,0
Clifton,"85,021",95,0,0,50,45,"1,272",115,"1,046",111,0
Clinton,"2,679",4,0,1,0,3,12,1,11,0,0
Clinton Township,"12,801",2,0,0,0,2,33,12,18,3,0
Closter,"8,562",5,0,1,0,4,43,0,39,4,0
Collingswood,"13,850",16,1,0,6,9,393,53,322,18,3
Colts Neck Township,"9,846",4,0,1,2,1,58,9,40,9,0
Cranbury Township,"4,013",3,0,0,0,3,34,6,25,3,0
Cranford Township,"24,251",4,0,0,1,3,202,11,175,16,0
Cresskill,"8,761",2,0,1,1,0,28,6,18,4,0
Deal,719,0,0,0,0,0,28,3,13,12,0
Delanco Township,"4,463",2,0,1,0,1,53,3,46,4,0
Delaware Township,"4,419",0,0,0,0,0,7,0,6,1,0
Delran Township,"16,473",8,0,0,3,5,212,23,182,7,0
Demarest,"4,912",2,0,0,0,2,12,4,5,3,0
Denville Township,"16,590",6,0,1,0,5,65,4,57,4,0
Deptford Township,"30,258",40,0,4,18,18,"1,174",122,"1,024",28,1
Dover,"17,852",40,0,2,11,27,157,49,94,14,1
Dumont,"17,649",6,0,0,1,5,54,2,52,0,0
Dunellen,"7,244",14,0,3,2,9,122,9,105,8,0
Eastampton Township,"5,938",3,0,2,1,0,50,12,34,4,0
East Brunswick Township,"47,857",27,0,6,9,12,530,35,491,4,1
East Greenwich Township,"10,658",0,0,0,0,0,103,16,82,5,0
East Hanover Township,"10,990",3,0,0,1,2,126,10,107,9,0
East Newark,"2,661",1,0,0,1,0,24,3,18,3,0
East Orange,"64,200",275,3,26,102,144,894,151,581,162,11
East Rutherford,"9,831",4,0,0,2,2,127,9,106,12,0
East Windsor Township,"27,343",16,1,1,4,10,182,17,151,14,1
Eatontown,"12,215",34,0,7,9,18,274,18,247,9,0
Edgewater,"12,821",4,0,1,2,1,160,13,142,5,0
Edgewater Park Township,"8,644",16,1,4,3,8,132,28,88,16,0
Edison Township,"100,282",84,1,9,19,55,"1,371",138,"1,143",90,2
Egg Harbor City,"4,085",21,0,1,11,9,195,42,144,9,1
Egg Harbor Township,"42,475",52,0,0,10,42,672,91,558,23,4
Elizabeth,"128,753",926,7,50,384,485,"3,898",365,"2,776",757,1
Elk Township,"4,154",0,0,0,0,0,39,8,25,6,1
Elmer,"1,300",1,1,0,0,0,5,0,5,0,0
Elmwood Park,"20,104",25,0,0,12,13,274,37,215,22,0
Elsinboro Township,967,2,0,0,0,2,11,1,10,0,1
Emerson,"7,640",1,0,0,0,1,31,2,25,4,0
Englewood,"28,683",71,2,10,18,41,343,64,257,22,0
Englewood Cliffs,"5,368",1,0,0,0,1,48,27,12,9,0
Englishtown,"1,937",3,0,0,0,3,12,2,9,1,0
Essex Fells,"2,072",0,0,0,0,0,16,2,10,4,0
Evesham Township,"44,999",29,0,5,8,16,510,55,440,15,0
Ewing Township,"36,338",60,0,4,20,36,507,76,385,46,1
"Fairfield Township, Essex County","7,472",0,0,0,0,0,177,8,158,11,0
Fair Haven,"5,784",1,0,0,0,1,16,4,10,2,0
Fair Lawn,"33,064",7,0,0,1,6,236,32,187,17,2
Fairview,"14,285",27,1,1,11,14,152,38,104,10,0
Fanwood,"7,718",2,0,1,0,1,25,5,17,3,0
Far Hills,909,0,0,0,0,0,3,0,3,0,0
Fieldsboro,539,0,0,0,0,0,2,0,2,0,0
Flemington,"4,590",10,0,1,0,9,58,9,47,2,1
Florence Township,"12,593",17,0,7,2,8,81,25,51,5,1
Florham Park,"11,522",1,0,0,0,1,111,19,85,7,0
Fort Lee,"38,062",25,0,2,6,17,323,57,239,27,1
Franklin,"4,699",10,0,1,1,8,48,3,44,1,0
Franklin Lakes,"11,109",5,0,0,1,4,59,4,44,11,2
"Franklin Township, Gloucester County","16,264",15,0,1,2,12,169,32,123,14,0
"Franklin Township, Hunterdon County","3,560",0,0,0,0,0,8,1,7,0,0
"Franklin Township, Somerset County","66,173",58,4,10,18,26,625,76,517,32,0
Freehold Borough,"11,733",22,0,0,11,11,129,20,105,4,0
Freehold Township,"34,560",34,2,1,9,22,487,21,455,11,1
Frenchtown,"1,348",0,0,0,0,0,3,0,3,0,0
Galloway Township,"35,813",62,0,2,2,58,367,94,252,21,1
Garfield,"31,888",51,1,9,16,25,620,58,532,30,2
Garwood,"4,361",1,0,0,0,1,35,5,30,0,0
Gibbsboro,"2,212",1,0,0,0,1,23,4,17,2,0
Glassboro,"20,082",31,0,5,3,23,303,83,205,15,1
Glen Ridge,"7,574",4,0,2,0,2,108,21,82,5,0
Glen Rock,"11,803",0,0,0,0,0,60,13,43,4,0
Gloucester City,"11,168",20,2,1,3,14,281,41,230,10,3
Gloucester Township,"63,500",63,1,9,18,35,880,67,789,24,1
Green Brook Township,"7,071",1,0,0,0,1,56,8,44,4,0
"Greenwich Township, Gloucester County","4,777",2,0,1,0,1,58,6,50,2,0
"Greenwich Township, Warren County","5,447",1,0,0,1,0,126,11,110,5,0
Guttenberg,"11,289",27,0,0,13,14,71,12,53,6,0
Hackensack,"44,505",103,1,6,15,81,594,54,506,34,2
Hackettstown,"9,431",3,0,0,0,3,28,2,25,1,1
Haddonfield,"11,261",5,0,0,2,3,135,13,119,3,0
Haddon Heights,"7,515",3,0,0,1,2,54,12,39,3,0
Haddon Township,"14,489",33,0,1,19,13,288,26,250,12,0
Haledon,"8,277",31,0,0,4,27,141,25,101,15,0
Hamburg,"3,102",0,0,0,0,0,17,4,13,0,0
"Hamilton Township, Atlantic County","25,667",49,0,1,21,27,769,91,641,37,2
"Hamilton Township, Mercer County","87,027",122,1,20,47,54,"1,585",264,"1,215",106,5
Hammonton,"14,003",25,0,1,4,20,115,25,78,12,1
Hanover Township,"14,447",12,0,4,1,7,136,7,120,9,0
Harding Township,"3,805",3,0,0,0,3,20,10,9,1,0
Hardyston Township,"7,760",1,0,0,1,0,26,4,22,0,0
Harrington Park,"4,751",0,0,0,0,0,5,0,4,1,0
Harrison,"18,374",47,0,5,14,28,341,49,262,30,0
Harrison Township,"13,125",1,0,0,0,1,57,8,45,4,2
Harvey Cedars,339,0,0,0,0,0,7,2,5,0,0
Hasbrouck Heights,"12,049",3,0,0,0,3,63,3,60,0,0
Haworth,"3,420",1,0,0,0,1,8,2,3,3,0
Hawthorne,"18,699",0,0,0,0,0,139,9,116,14,0
Hazlet Township,"19,739",31,0,5,2,24,199,16,171,12,0
Helmetta,"2,173",0,0,0,0,0,10,2,7,1,0
High Bridge,"3,427",1,0,0,0,1,25,3,21,1,0
Highland Park,"13,791",14,0,5,2,7,222,33,181,8,0
Highlands,"4,739",2,0,0,0,2,9,4,5,0,1
Hightstown,"5,264",6,0,3,1,2,22,2,19,1,0
Hillsborough Township,"39,813",13,0,7,1,5,191,29,158,4,0
Hillsdale,"10,382",2,0,0,0,2,45,4,40,1,0
Hillside Township,"22,024",64,0,5,26,33,533,51,398,84,0
Hi-Nella,855,2,0,0,0,2,4,0,4,0,0
Hoboken,"53,641",79,0,2,14,63,666,73,562,31,1
Ho-Ho-Kus,"4,091",0,0,0,0,0,20,7,11,2,0
Holland Township,"5,081",2,0,1,0,1,9,4,4,1,0
Holmdel Township,"16,648",17,0,1,1,15,194,16,168,10,0
Hopatcong,"14,091",8,0,0,1,7,39,0,37,2,1
Hopewell Borough,"1,905",0,0,0,0,0,13,2,10,1,0
Hopewell Township,"17,854",7,0,1,0,6,73,14,55,4,0
Howell Township,"52,242",31,1,14,1,15,376,43,321,12,0
Independence Township,"5,420",2,0,1,0,1,5,4,0,1,0
Interlaken,789,0,0,0,0,0,3,0,3,0,0
Irvington,"54,034",280,7,17,190,66,"1,016",178,565,273,7
Island Heights,"1,675",0,0,0,0,0,7,3,4,0,0
Jackson Township,"57,380",25,0,3,5,17,391,71,298,22,3
Jamesburg,"5,931",10,2,1,2,5,19,3,15,1,1
Jefferson Township,"20,877",10,1,2,0,7,72,12,54,6,0
Jersey City,"266,508","1,393",13,81,431,868,"5,074",890,"3,514",670,18
Keansburg,"9,674",21,0,2,6,13,176,18,157,1,0
Kearny,"41,314",54,0,0,13,41,661,36,541,84,0
Kenilworth,"8,218",10,0,4,2,4,109,8,86,15,0
Keyport,"7,032",12,0,0,4,8,92,10,73,9,0
Kinnelon,"9,984",1,0,1,0,0,22,11,9,2,0
Lacey Township,"29,247",25,0,4,4,17,265,29,233,3,1
Lake Como,"1,685",1,0,0,1,0,16,2,11,3,0
Lakehurst,"2,701",5,0,0,2,3,18,0,16,2,0
Lakewood Township,"105,403",148,1,11,45,91,965,253,675,37,4
Lambertville,"3,782",1,0,1,0,0,26,2,24,0,0
Laurel Springs,"1,860",2,0,0,1,1,19,6,12,1,0
Lavallette,"1,846",0,0,0,0,0,39,2,34,3,0
Lawnside,"2,874",6,0,0,0,6,104,10,92,2,0
"Lawrence Township, Mercer County","32,415",45,0,10,11,24,493,83,388,22,2
Lebanon Township,"6,061",2,0,0,0,2,17,3,12,2,0
Leonia,"9,088",3,0,1,0,2,51,11,38,2,0
Lincoln Park,"10,162",2,0,0,0,2,46,8,32,6,0
Linden,"42,592",159,0,21,44,94,"1,228",110,"1,079",39,4
Lindenwold,"17,197",123,0,16,50,57,492,124,334,34,3
Linwood,"6,697",2,0,0,0,2,92,10,78,4,0
Little Egg Harbor Township,"21,508",18,0,2,3,13,206,36,164,6,1
Little Falls Township,"14,513",20,0,0,0,20,89,12,70,7,0
Little Ferry,"10,794",9,1,0,2,6,83,12,55,16,0
Little Silver,"5,793",2,0,0,0,2,34,1,25,8,0
Livingston Township,"29,998",6,0,3,1,2,353,26,301,26,0
Loch Arbour,179,0,0,0,0,0,14,1,13,0,0
Lodi,"24,488",35,0,2,6,27,273,31,200,42,1
Logan Township,"5,854",5,0,1,2,2,105,13,85,7,0
Long Beach Township,"3,060",10,0,5,0,5,78,6,70,2,0
Long Branch,"30,352",109,0,11,23,75,625,60,538,27,0
Long Hill Township,"8,500",3,0,1,0,2,45,3,40,2,0
Longport,854,1,0,0,0,1,10,3,7,0,0
Lopatcong Township,"8,350",4,0,0,0,4,99,5,90,4,0
Lower Alloways Creek Township,"1,663",1,0,0,0,1,3,0,3,0,0
Lower Township,"21,325",41,0,10,2,29,149,30,113,6,0
Lumberton Township,"12,162",22,0,2,4,16,174,11,153,10,0
Lyndhurst Township,"22,741",13,0,0,6,7,150,5,127,18,0
Madison,"16,533",1,0,0,0,1,70,11,52,7,0
Magnolia,"4,247",13,0,0,5,8,76,26,46,4,0
Mahwah Township,"26,317",8,0,3,0,5,115,10,90,15,1
Manalapan Township,"39,662",18,1,11,2,4,226,36,173,17,0
Manasquan,"5,839",7,0,3,0,4,88,3,82,3,0
Manchester Township,"43,369",12,3,0,3,6,278,51,215,12,2
